,precision,recall,f1-score,support
0,0.9979633401221996,1.0,0.9989806320081549,980.0
1,0.9964881474978051,1.0,0.9982409850483729,1135.0
2,0.9932301740812379,0.9951550387596899,0.9941916747337851,1032.0
3,0.9940828402366864,0.998019801980198,0.9960474308300395,1010.0
4,0.9939086294416244,0.9969450101832994,0.9954245043213015,982.0
5,0.9966254218222722,0.9932735426008968,0.9949466591802358,892.0
6,0.9979101358411703,0.9968684759916493,0.9973890339425587,958.0
7,0.9961013645224172,0.9941634241245136,0.9951314508276533,1028.0
8,0.9989680082559339,0.9938398357289527,0.9963973237261966,974.0
9,0.9970149253731343,0.9930624380574826,0.9950347567030785,1009.0
accuracy,0.9962,0.9962,0.9962,0.9962
macro avg,0.9962292987194481,0.9961327567426682,0.9961784451321378,10000.0
weighted avg,0.9962036492005456,0.9962,0.996199242288431,10000.0
