,precision,recall,f1-score,support
0,0.9959308240081384,0.9989795918367347,0.9974528782475802,980.0
1,0.9956101843722563,0.9991189427312775,0.9973614775725593,1135.0
2,0.9942140790742526,0.999031007751938,0.9966167230546158,1032.0
3,0.9950641658440277,0.998019801980198,0.9965397923875432,1010.0
4,0.9938962360122076,0.994908350305499,0.9944020356234097,982.0
5,0.9988726042841037,0.9932735426008968,0.9960652051714446,892.0
6,0.9989495798319328,0.9926931106471816,0.9958115183246073,958.0
7,0.995136186770428,0.995136186770428,0.995136186770428,1028.0
8,0.997946611909651,0.997946611909651,0.997946611909651,974.0
9,0.9950199203187251,0.9900891972249752,0.992548435171386,1009.0
accuracy,0.996,0.996,0.996,0.996
macro avg,0.9960640392425724,0.995919634375878,0.9959880864233226,10000.0
weighted avg,0.9960042767763578,0.996,0.9959984513869283,10000.0
