,precision,recall,f1-score,support
0,0.9969450101832994,0.9989795918367347,0.9979612640163099,980.0
1,0.9938650306748467,0.9991189427312775,0.9964850615114236,1135.0
2,0.9942028985507246,0.997093023255814,0.9956458635703919,1032.0
3,0.9931102362204725,0.999009900990099,0.9960513326752222,1010.0
4,0.9959016393442623,0.9898167006109979,0.992849846782431,982.0
5,0.9966254218222722,0.9932735426008968,0.9949466591802358,892.0
6,0.9978991596638656,0.9916492693110647,0.9947643979057592,958.0
7,0.9951219512195122,0.9922178988326849,0.9936678032148076,1028.0
8,0.9969167523124358,0.9958932238193019,0.9964047252182845,974.0
9,0.9891196834817013,0.9910802775024777,0.9900990099009901,1009.0
accuracy,0.9949,0.9949,0.9949,0.9949
macro avg,0.9949707783473393,0.9948132371491349,0.9948875963975855,10000.0
weighted avg,0.9949058373981133,0.9949,0.9948984828538432,10000.0
