,precision,recall,f1-score,support
0,0.7532956685499058,0.8,0.7759456838021338,1000.0
1,0.8058608058608059,0.88,0.8413001912045889,1000.0
2,0.6703786191536748,0.602,0.6343519494204426,1000.0
3,0.656934306569343,0.45,0.5341246290801187,1000.0
4,0.7528089887640449,0.67,0.708994708994709,1000.0
5,0.703125,0.63,0.6645569620253164,1000.0
6,0.6494334277620396,0.917,0.7603648424543947,1000.0
7,0.7473021582733813,0.831,0.7869318181818182,1000.0
8,0.8448275862068966,0.833,0.8388721047331319,1000.0
9,0.7911065149948294,0.765,0.7778342653787493,1000.0
accuracy,0.7378,0.7378,0.7378,0.7378
macro avg,0.7375073076134921,0.7378,0.7323277155275404,10000.0
weighted avg,0.7375073076134923,0.7378,0.7323277155275403,10000.0
