,precision,recall,f1-score,support
0,0.7789373814041746,0.821,0.7994157740993184,1000.0
1,0.8309859154929577,0.885,0.8571428571428571,1000.0
2,0.7173396674584323,0.604,0.6558089033659066,1000.0
3,0.7025036818851251,0.477,0.5681953543776057,1000.0
4,0.7667386609071274,0.71,0.7372793354101765,1000.0
5,0.7158006362672322,0.675,0.6948018528049408,1000.0
6,0.670605612998523,0.908,0.7714528462192014,1000.0
7,0.7544014084507042,0.857,0.802434456928839,1000.0
8,0.8679050567595459,0.841,0.8542407313357034,1000.0
9,0.7645348837209303,0.789,0.7765748031496063,1000.0
accuracy,0.7567,0.7567,0.7567,0.7567
macro avg,0.7569752905344753,0.7567,0.7517346914834155,10000.0
weighted avg,0.7569752905344752,0.7567,0.7517346914834154,10000.0
