,precision,recall,f1-score,support
0,0.7490458015267175,0.785,0.7666015625,1000.0
1,0.8273584905660377,0.877,0.8514563106796117,1000.0
2,0.6790960451977401,0.601,0.6376657824933687,1000.0
3,0.706645056726094,0.436,0.5392702535559678,1000.0
4,0.7444933920704846,0.676,0.7085953878406709,1000.0
5,0.7166666666666667,0.645,0.6789473684210526,1000.0
6,0.6574545454545454,0.904,0.7612631578947369,1000.0
7,0.7439570277529096,0.831,0.7850732168162494,1000.0
8,0.8474059003051883,0.833,0.8401412002017146,1000.0
9,0.7299006323396567,0.808,0.7669672520170859,1000.0
accuracy,0.7396,0.7396,0.7396,0.7396
macro avg,0.740202355860604,0.7396,0.7335981492420458,10000.0
weighted avg,0.7402023558606041,0.7396,0.7335981492420458,10000.0
