,precision,recall,f1-score,support
0,0.7560038424591738,0.787,0.7711905928466438,1000.0
1,0.8556149732620321,0.8,0.8268733850129198,1000.0
2,0.6415882967607106,0.614,0.627491057741441,1000.0
3,0.5604060913705584,0.552,0.5561712846347607,1000.0
4,0.7030612244897959,0.689,0.695959595959596,1000.0
5,0.6464088397790055,0.585,0.6141732283464567,1000.0
6,0.7794970986460348,0.806,0.7925270403146509,1000.0
7,0.7611940298507462,0.765,0.7630922693266833,1000.0
8,0.7988668555240793,0.846,0.8217581350169986,1000.0
9,0.7306642402183804,0.803,0.7651262505955216,1000.0
accuracy,0.7247,0.7247,0.7247,0.7247
macro avg,0.7233305492360517,0.7247000000000001,0.7234362839795673,10000.0
weighted avg,0.7233305492360517,0.7247,0.7234362839795673,10000.0
