,precision,recall,f1-score,support
0,0.7352674524025385,0.811,0.7712791250594389,1000.0
1,0.8144712430426716,0.878,0.8450433108758422,1000.0
2,0.6923963133640553,0.601,0.6434689507494646,1000.0
3,0.6881028938906752,0.428,0.5277435265104808,1000.0
4,0.753968253968254,0.665,0.7066950053134963,1000.0
5,0.6921465968586388,0.661,0.6762148337595908,1000.0
6,0.6443335709194583,0.904,0.7523928422804828,1000.0
7,0.7399821905609973,0.831,0.7828544512482336,1000.0
8,0.8568507157464212,0.838,0.8473205257836198,1000.0
9,0.7773279352226721,0.768,0.772635814889336,1000.0
accuracy,0.7385,0.7385,0.7385,0.7385
macro avg,0.7394847165976383,0.7384999999999999,0.7325648386469986,10000.0
weighted avg,0.7394847165976381,0.7385,0.7325648386469986,10000.0
