,precision,recall,f1-score,support
0,0.7511781338360037,0.797,0.7734109655507035,1000.0
1,0.8334919124643198,0.876,0.8542174549000487,1000.0
2,0.7045977011494253,0.613,0.6556149732620321,1000.0
3,0.6863636363636364,0.453,0.5457831325301205,1000.0
4,0.7610132158590308,0.691,0.7243186582809225,1000.0
5,0.7231947483588621,0.661,0.690700104493208,1000.0
6,0.6917808219178082,0.909,0.7856525496974935,1000.0
7,0.7495575221238938,0.847,0.7953051643192488,1000.0
8,0.8635416666666667,0.829,0.8459183673469388,1000.0
9,0.7252650176678446,0.821,0.7701688555347092,1000.0
accuracy,0.7497,0.7497,0.7497,0.7497
macro avg,0.7489984376407491,0.7496999999999999,0.7441090225915425,10000.0
weighted avg,0.7489984376407491,0.7497,0.7441090225915425,10000.0
