,precision,recall,f1-score,support
0,0.7568359375,0.775,0.7658102766798419,1000.0
1,0.805277525022748,0.885,0.8432586946164841,1000.0
2,0.6908267270668177,0.61,0.6479022835900159,1000.0
3,0.6728682170542636,0.434,0.5276595744680851,1000.0
4,0.7450549450549451,0.678,0.7099476439790576,1000.0
5,0.7072120559741658,0.657,0.6811819595645412,1000.0
6,0.6444132115249473,0.917,0.7569129178704086,1000.0
7,0.75,0.822,0.7843511450381679,1000.0
8,0.8389328063241107,0.849,0.8439363817097415,1000.0
9,0.7854954034729316,0.769,0.7771601819100555,1000.0
accuracy,0.7396,0.7396,0.7396,0.7396
macro avg,0.7396916828994929,0.7396,0.7338121059426399,10000.0
weighted avg,0.739691682899493,0.7396,0.7338121059426398,10000.0
