,precision,recall,f1-score,support
0,0.7746062992125984,0.787,0.7807539682539683,1000.0
1,0.8257575757575758,0.872,0.8482490272373541,1000.0
2,0.685456595264938,0.608,0.6444091149973503,1000.0
3,0.6845151953690304,0.473,0.5594322885866351,1000.0
4,0.7565118912797282,0.668,0.709506107275624,1000.0
5,0.718785151856018,0.639,0.6765484383271573,1000.0
6,0.6488603988603988,0.911,0.7579034941763727,1000.0
7,0.730836236933798,0.839,0.7811918063314711,1000.0
8,0.8484231943031536,0.834,0.8411497730711044,1000.0
9,0.7574304889741131,0.79,0.7733724914341654,1000.0
accuracy,0.7421,0.7421,0.7421,0.7421
macro avg,0.7431183027811352,0.7421,0.7372516509691203,10000.0
weighted avg,0.7431183027811353,0.7421,0.7372516509691204,10000.0
