,precision,recall,f1-score,support
0,0.6698202459791863,0.708,0.6883811375789985,1000.0
1,0.6434714620797498,0.823,0.7222465993856955,1000.0
2,0.5727513227513228,0.433,0.49316628701594534,1000.0
3,0.49730700179533216,0.277,0.35581245985870263,1000.0
4,0.6215846994535519,0.455,0.5254041570438799,1000.0
5,0.5877598152424942,0.509,0.5455519828510182,1000.0
6,0.5271084337349398,0.875,0.6578947368421053,1000.0
7,0.6315352697095435,0.761,0.6902494331065759,1000.0
8,0.7474949899799599,0.746,0.7467467467467468,1000.0
9,0.6168539325842697,0.549,0.580952380952381,1000.0
accuracy,0.6136,0.6136,0.6136,0.6136
macro avg,0.611568717331035,0.6136,0.6006405921382049,10000.0
weighted avg,0.611568717331035,0.6136,0.6006405921382049,10000.0
